Author,Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language
Pallavi Mishra,24th Jul 2019,https://www.vishvasnews.com/english/world/fact-check-photo-of-rajasthan-shivalinga-is-being-falsly-reported-as-mecca-madinas/,Fact Check: Photo of Rajasthan Shivalinga is being falsly reported as Mecca Madina’s,NA,Rishi Bhola,"For the first time in history, Shivalinga of Mecca Madina is shown here, all Hindus should share.",Macca Madina Shivling,"Hindus, Muslims",English 
Urvashi Kapoor,24th Jul 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-deodorants-cause-breast-cancer-is-fake/,Fact Check: Post claiming deodorants cause breast cancer is fake,NA,Fb Page: Women's Health Tips,deodorants cause breast cancer ,Breast cancer cause,Any person,English 
Pallavi Mishra,23rd Jul 2019,https://www.vishvasnews.com/english/world/fact-check-this-lion-did-not-attack-a-church-leader-its-a-scene-from-a-film/,"Fact Check: This lion did not attack a church leader, it’s a scene from a film",NA,The Hypernationalist,Church Leader Mauled By Lion After Trying To Prove God Would Intervene.” The post further states,Lion attack priest,Priest,English 
Pallavi Mishra,22nd Jul 2019,https://www.vishvasnews.com/english/politics/fact-check-rahul-gandhi-was-not-reading-kannada-newspaper/,Fact Check: Rahul Gandhi was not reading Kannada Newspaper,NA,Facebook user Harshit Dubey,"A person, who can’t read Hindi properly, is pretending to read Kannada.",Rahul Gandhi Kannada News Paper,Rahul Gandhi ,English 
Urvashi Kapoor,22nd Jul 2019,https://www.vishvasnews.com/english/health/fact-check-the-red-dot-eye-test-to-check-your-vision-is-fake/,Fact Check: The red dot eye test to check your vision is fake,NA,FB Page: Life Care Clinic,red dot eye test to check your vision,Eye checkup,eye patient ,English 
Urvashi Kapoor,19th Jul 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-two-handfuls-of-cashews-equivalent-to-a-prozac-dose-is-fake/,Fact Check: Post claiming two handfuls of cashews equivalent to a Prozac dose is fake,NA,FB User: Jenna Lundgren,two handfuls of cashews equivalent to a Prozac dose,Prozac dose as anti-depressent,Patients,English 
Urvashi Kapoor,18th Jul 2019,https://www.vishvasnews.com/english/health/fact-check-no-unesco-did-not-declare-idly-as-the-healthiest-breakfast-of-the-world/,"Fact Check: No, UNESCO did not declare idly as the healthiest breakfast of the world",NA,FB User: Veerappa Sivaiah,UNESCO declares idly as the healthiest breakfast of the world,UNESCO,Idly consumers,English 
Urvashi Kapoor,17th Jul 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-coconut-oil-can-prevent-dengue-is-fake/,Fact Check: Post claiming coconut oil can prevent dengue is fake,NA,Fb Page: Time News International,coconut oil can prevent dengue,dengue prevention,Dengue patients,English 
Urvashi Kapoor,16th Jul 2019,https://www.vishvasnews.com/english/viral/fact-check-the-school-shown-in-this-viral-image-is-not-from-delhi-but-from-bihar/,"Fact Check: The school shown in this viral image is not from Delhi, but from Bihar",NA,FB Page: Aam Admi Zindabad,school shown in this viral image is from Delhi,School,school students,English 
Bhagwant Singh,18th Jul 2019,https://www.vishvasnews.com/english/world/fact-check-post-claiming-bangladeshi-citizen-burnt-while-celebrating-indias-loss-in-world-cup-is-fake-7/,Fact Check: Post claiming Bangladeshi man burnt to death while celebrating India’s loss in world cup is fake,NA,FB User- Jayesh Rathod,Bangladeshi man burnt to death while celebrating India’s loss in world cup,Cricket World Cup 2019,Cricket Match,English 
Pallavi Mishra,16th Jul 2019,https://www.vishvasnews.com/english/world/fact-check-this-skeleton-has-not-been-excavated-in-kurukshetra-italian-artists-work-is-going-viral-with-misleading-claim/,"FACT CHECK: This skeleton has not been excavated in Kurukshetra, Italian artists’ work is going viral with misleading claim",NA,Kurukshetra-The Historical Place,"Archaeologists found a 80-feet long human skeleton which is similar to the description of Ghatotkach, the son of Bhima of Mahabharata",Kurukshetra skeleton,Skeleton,English 
Urvashi Kapoor,16th Jul 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-cheap-and-harmful-tablets-contain-tissue-paper-is-fake/,Fact Check: Post claiming cheap and harmful tablets contain tissue paper is fake,NA,FB User: हिंदुस्तान हमारी जान,cheap and harmful tablets contain tissue paper,Cheap tablets,Patients,English 
Urvashi Kapoor,15th Jul 2019,https://www.vishvasnews.com/english/health/fact-check-lemons-are-10000-times-stronger-than-chemotherapy-is-a-fake-claim/,Fact Check: ‘Lemons are 10000 times stronger than chemotherapy’ is a fake claim,NA,FB User: David Cutter,Lemons are 10000 times stronger than chemotherapy,Lemons,Cancer Patients,English 
Bhagwant Singh,15th Jul 2019,https://www.vishvasnews.com/english/viral/fact-check-no-ravi-shastri-did-not-have-a-liquor-bottle-during-team-photo-shoot/,"Fact Check: No, Ravi Shastri did not have a liquor bottle during team photoshoot",NA,FB Page- Mauka Mauka, Ravi Shastri have a bottle of liquor during team photo-shoot,Ravi Shastri with liquor ,Ravi Shastri,English 
Urvashi Kapoor,12th Jul 2019,https://www.vishvasnews.com/english/world/fact-check-no-the-photographer-did-not-cry-after-dhoni-lost-his-wicket-in-wc-2019-the-viral-post-is-fake/,"Fact Check: No, the photographer did not cry after Dhoni lost his wicket in WC 2019, the viral post is fake",NA,FB Page-TFG Social,the photographer cried after Dhoni lost his wicket in WC 2019,Photographers actions,Dhoni,English 
Urvashi Kapoor,12th Jul 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-mother-killed-children-by-mixing-cough-syrup-with-milk-is-fake/,Fact Check: Post claiming mother killed children by mixing cough syrup with milk is fake,NA,FB User: Abha Jain,mother killed children by mixing cough syrup with milk,Reaction of couh syrup with milk,Children,English 
Urvashi Kapoor,11th Jul 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-onions-absorb-bacteria-to-prevent-flu-is-fake/,Fact Check: Post Claiming Onions Absorb Bacteria To Prevent Flu Is Fake,NA,Fb Page: Diamond Glow Organic Skincare,Onions Absorb Bacteria To Prevent Flu,Onions,Flu Patients,English 
Urvashi Kapoor,10th Jul 2019,https://www.vishvasnews.com/english/health/fact-check-calling-a-sleeping-persons-name-can-cause-brain-damage-is-a-fake-post/,Fact Check: Calling a sleeping person’s name can cause brain damage is a fake post,NA,FB Page: Mental Health Club Ghana (MHCG),you should not call out a person’s name while he is sleeping as it causes brain damage,Brain damage cause,A sleeping person,English 
Pallavi Mishra,9th Jul 2019,https://www.vishvasnews.com/english/politics/fact-check-nirmala-sitharaman-never-said-35000-cr-led-bulbs-were-distribution-under-ujala-scheme/,Fact Check: Nirmala Sitharaman never said 35000 cr LED bulbs were distribution under UJALA scheme,NA,SADA PUNJAB,Nirmala Sitharaman said 35000 cr LED bulbs were distribution under UJALA scheme,Ujwala Scheme,NIrmala Sitaraman,English 
Urvashi Kapoor,9th Jul 2019,https://www.vishvasnews.com/english/health/fact-check-false-claims-of-curing-cancer-getting-viral/,Fact Check: False claims of curing cancer getting viral,NA,FB Page: Holishealth.com, no one must die of cancer except out of carelessness,Cancer cause,Patients,English 
Urvashi Kapoor,8th Jul 2019,https://www.vishvasnews.com/english/health/fact-check-no-microwave-ovens-are-not-banned-in-japan/,"Fact Check: No, Microwave ovens are not banned in Japan",NA,FB Page: Divya Vedic Foundation,Microwave ovens are banned in Japan,Microwave ovens,China,English 
Pallavi Mishra,8th Jul 2019,https://www.vishvasnews.com/english/viral/fact-check-old-muharram-video-is-going-viral-in-the-name-of-tabrez-supporters-procession/,Fact Check: Old Muharram Video Is Going Viral In The Name Of Tabrez Supporters’ Procession,NA,Dhaka New imim Club,"The biggest procession in Agra in support of Tabaraz Ansari, you have to say Allah Hu Akbar if you want to stay in India, Dalit Muslims come together for the procession.",Tabrez Ansari lynching,Tabrez Ansari,English 
Urvashi Kapoor,4th Jul 2019,https://www.vishvasnews.com/english/politics/fact-check-old-video-of-narendra-modi-manmohan-singh-meet-goes-viral/,Fact Check: Old video of Narendra Modi – Manmohan Singh meet goes viral,NA,FB User: Vishal Singh Rajput,Narendra Modi – Manmohan Singh met,"Narendra Modi, Manmohan Singh meeting","Narendra Modi, Manmohan Singh",English 
Urvashi Kapoor,4th Jul 2019,https://www.vishvasnews.com/english/viral/fact-check-paracetamol-p-500-contains-machupo-virus-is-fake/,Fact Check: Paracetamol P-500 contains Machupo virus is a fake news,NA,FB User: Langam Dilipkumar,Fact Check: Paracetamol P-500 contains Machupo virus,Paracetamol,Patients,English 
Pallavi Mishra,3rd Jul 2019,https://www.vishvasnews.com/english/world/fact-check-lord-krishnas-photo-was-not-printed-on-russian-train-photoshopped-image-is-going-viral/,"Fact Check: Lord Krishna’s Photo Was Not Printed On Russian Train, Photoshopped Image Is Going Viral",NA,Rakesh Bharti,This is a train of Russia where the people of the ISKCON temple printed Lord Shri Krishna’s image on the engine so that their following grows throughout the world!,Lord Krishna on Russian train,Lord Krishna,English 
Urvashi Kapoor,3rd Jul 2019,https://www.vishvasnews.com/english/viral/fact-check-obama-had-purchased-8-1-million-house-in-2017-viral-post-is-fake/,"Fact Check: Obama had purchased $8.1 million house in 2017, viral post is fake",NA,FB Page: Wisdom,"despite being the President of America twice, Barack Obama could not buy a new house for his children",Barack Obama house purchase,Barack Obama,English 
Urvashi Kapoor,3rd Jul 2019,https://www.vishvasnews.com/english/world/fact-check-no-nasa-did-not-develop-a-machine-to-produce-rain-generating-clouds/,"Fact Check: No, NASA did not develop a machine to produce rain-generating clouds",NA,FB User: Ankit Dwivedi,NASA developed a machine to produce rain-generating clouds,NASA developed clouds,People,English 
Urvashi Kapoor,27th Jun 2019,https://www.vishvasnews.com/english/health/fact-check-smallpox-treatment-mr-vac-is-a-slow-poison-for-children-is-a-fake-post/,"Fact Check: Smallpox treatment MR – VAC is a slow poison for children, is a fake post",NA,FB User: Mohamed Owaise,Smallpox treatment MR – VAC is a slow poison for children,MR VAC,Children,English 
Pallavi Mishra,26th Jun 2019,https://www.vishvasnews.com/english/viral/fact-check-post-asking-people-to-switch-off-phone-due-to-cosmic-rays-is-fake/,FACT CHECK: Post Asking People To Switch Off Phone Due To Cosmic Rays Is Fake,NA,Ravindra Kumar Singh,"Tonight at 00:30 to 03:30am make sure to turn off your phone, cellular, tablet etc & put far away from your body! Singapore TV announced on the news! Please tell your family & friends! Tonight 12:30pm to 3:30am for our Planet will be very high radiation! Cosmic rays will pass close to Earth, So please turn off your cell phone! Do not leave your device close to your body, it can cause you terrible damage! Check Google & NASA BBC News! Send this message to all the people who matter to you! Thank you.",Mobile phone is dangerous,Mobile phone,English 
Urvashi Kapoor,25th Jun 2019,https://www.vishvasnews.com/english/health/fact-check-all-deadly-poisons-can-be-treated-immediately-on-call-is-a-fake-post/,"Fact Check: All deadly poisons can be treated immediately on call, is a fake post",NA,FB User: Shivraj Yadav,All deadly poisons can be treated immediately on call,Poison treatment,Patient,English 
Urvashi Kapoor,24th Jun 2019,https://www.vishvasnews.com/english/health/fact-check-applying-black-tea-on-hair-can-turn-white-hair-black-is-a-misleading-post/,"Fact Check: Applying black tea on hair can turn white hair black, is a misleading post",NA,Youtube user,Applying black tea on hair can turn white hair black,Turning grey hair black,People having grey hair,English 
Pallavi Mishra,24th Jun 2019,https://www.vishvasnews.com/english/politics/fact-check-amit-shah-was-not-sleeping-in-parliament/,FACT CHECK: Amit Shah was not sleeping in Parliament,NA,Dr Ashok Kumar,Amit Shah was sleeping in Parliament,Amit Shah Unprofessional,Amit Shah,English 
Pallavi Mishra,24th Jun 2019,https://www.vishvasnews.com/english/politics/fact-check-the-collapsed-bridge-was-50-years-old-pm-modi-did-not-inaugurate-it/,"FACT CHECK: The collapsed bridge was 50 years old, PM Modi did not inaugurate it",NA,Brian Rathod,"Planned by then CM Modi, inaugurated by PM Modi, Jamnagar-Junagarh highway bridge collapsed within 3 months of inauguration!",PM Modi bad governance,PM Modi,English 
Urvashi Kapoor,21st Jun 2019,https://www.vishvasnews.com/english/viral/fact-check-fake-post-getting-viral-in-the-name-of-virat-kohli/,Fact Check: Fake post getting viral in the name of Virat Kohli,NA,FB User: Jeevan Singh Bodana, some people could be seen holding a green-colored banner. The banner has a text written on it: WE DON’T WANT KASHMIR GIVE US VIRAT KOHLI,Virat Kohli text on banner,Virat Kohli,English 
Pallavi Mishra,21st Jun 2019,https://www.vishvasnews.com/english/viral/fact-check-post-claiming-the-authenticity-of-rs-500-note-basis-position-of-green-strip-is-fake/,FACT CHECK: Post claiming the authenticity of Rs 500 note basis position of green strip is fake,NA,Napolean Dias,Pls do not accept Rs.500 currency note if the green strip is close to Gandhi ji because it’s fake. Accept a currency note where the strip is * near Governor’s signature.,Fake 500 Rupee note ,RBI,English 
Pallavi Mishra,21st Jun 2019,https://www.vishvasnews.com/english/world/fact-check-the-art-of-living-mongolia-event-is-being-falsely-reported-as-japans/,Fact Check: The Art of Living’s Mongolia event is being falsely reported as Japan’s,NA,thehindutva.com,जपान में सूर्य नमस्कार और गायत्री मंत्र का विस्तार हो रहा है,Yoga in Japan,Japanese,English 
Urvashi Kapoor,21st Jun 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-magical-chutney-can-cure-diabetes-completely-is-fake/,Fact Check: Post claiming magical chutney can cure diabetes completely is fake,NA,FB User: Satya Prakash Gupta,magical chutney can cure diabetes,diabetes cure,diabetic patients,English 
Urvashi Kapoor,21st Jun 2019,https://www.vishvasnews.com/english/health/fact-check-boy-infected-with-hiv-from-tainted-pineapple-is-a-fake-news/,Fact Check: Boy infected with HIV from tainted pineapple is a fake news,NA,FB Page: NDI IGBO,Boy infected with HIV from tainted pineapple,HIV from pinapple,Boy,English 
Urvashi Kapoor,19th Jun 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-cadbury-products-contaminated-with-hiv-positive-blood-is-fake/,Fact Check: Post claiming Cadbury products contaminated with HIV positive blood is fake,NA,Whatsapp user,Cadbury products contaminated with HIV positive blood,Cadbury contaminated,Cadbury consumers,English 
